sensor1,sensor2,sensor3,sensor4,sober or not
562,549,587,225,0
567,547,589,234,0
568,548,589,236,0
569,546,588,240,0
570,544,588,241,0
570,542,586,243,0
570,540,585,247,0
570,538,584,248,0
570,536,582,250,0
570,534,581,252,0
571,533,580,253,0
570,531,579,256,0
572,531,578,261,0
572,530,578,263,0
573,529,577,264,0
574,528,576,265,0
574,531,577,266,0
574,540,580,267,0
576,534,579,272,0
578,534,578,276,0
579,532,578,280,0
581,531,578,289,0
579,540,579,285,0
579,593,578,289,0
585,668,587,289,0
587,654,597,289,0
586,655,602,296,0
589,646,609,305,0
589,649,647,310,0
594,665,664,314,0
593,662,661,317,0
592,643,653,316,0
593,648,655,321,0
594,696,662,326,0
595,667,647,324,0
593,647,645,323,0
594,657,651,324,0
597,644,645,327,0
595,620,639,331,0
596,645,660,339,0
598,655,677,341,0
602,652,694,349,0
598,663,685,346,0
601,696,660,348,0
602,694,673,349,0
603,663,668,350,0
606,625,648,349,0
604,675,689,342,0
606,696,690,347,0
600,703,693,347,1
596,704,696,345,1
594,695,694,343,1
592,700,696,344,1
595,703,700,336,1
600,716,703,328,1
604,680,698,328,1
605,662,694,327,1
605,706,693,326,1
605,713,692,326,1
604,694,688,328,1
603,727,687,329,1
606,716,687,326,1
607,710,685,326,1
610,702,682,327,1
611,689,683,329,1
613,706,703,329,1
614,712,695,328,1
618,687,678,334,1
623,679,680,347,1
630,694,688,356,1
638,692,683,365,1
641,792,776,367,1
641,798,802,362,1
644,800,807,363,1
646,801,809,364,1
648,802,811,365,1
650,802,811,366,1
651,802,812,367,1
653,802,811,369,1
654,802,811,369,1
654,802,811,370,1
656,801,811,371,1
656,798,811,372,1
657,795,811,374,1
658,793,810,374,1
657,790,809,374,1
